100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
100	40	200	20
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
1200	400	500	60
